Year,County,Region,Child Population,% of Children in Total Population,Total Population
2023,Anderson,4-Tyler,6020,10.37,58031
2023,Andrews,9-Midland,4347,17.03,25522
2023,Angelina,5-Beaumont,12942,14.18,91271
2023,Aransas,11-Edinburg,3114,10.64,29270
2023,Archer,2-Abilene,911,11.07,8228
2023,Armstrong,1-Lubbock,204,10.46,1950
2023,Atascosa,8-San Antonio,7527,13.85,54335
2023,Austin,6-Houston,3922,12.66,30974
2023,Bailey,1-Lubbock,1341,17.03,7874
2023,Bandera,8-San Antonio,1898,8.84,21466
2023,Bastrop,7-Austin,12256,13.63,89909
2023,Baylor,2-Abilene,466,12.87,3621
2023,Bee,11-Edinburg,4144,11.78,35184
2023,Bell,7-Austin,58476,15.96,366458
2023,Bexar,8-San Antonio,302210,13.64,2214963
2023,Blanco,7-Austin,1138,9.64,11804
2023,Borden,9-Midland,58,8.29,700
2023,Bosque,7-Austin,1968,11.16,17633
2023,Bowie,4-Tyler,10742,11.63,92377
2023,Brazoria,6-Houston,55255,13.91,397126
2023,Brazos,7-Austin,30024,12.42,241769
2023,Brewster,10-El Paso,1078,11.93,9033
2023,Briscoe,1-Lubbock,178,11.51,1546
2023,Brooks,11-Edinburg,995,13.93,7144
2023,Brown,2-Abilene,4678,12,38996
2023,Burleson,7-Austin,2271,12.68,17912
2023,Burnet,7-Austin,5718,11.46,49893
2023,Caldwell,7-Austin,6433,13.91,46261
2023,Calhoun,8-San Antonio,3075,13.27,23166
2023,Callahan,2-Abilene,1384,10.26,13494
2023,Cameron,11-Edinburg,67479,15.6,432436
2023,Camp,4-Tyler,1829,13.44,13609
2023,Carson,1-Lubbock,699,12.16,5748
2023,Cass,4-Tyler,3598,11.94,30123
2023,Castro,1-Lubbock,976,14.24,6852
2023,Chambers,6-Houston,6410,14.19,45161
2023,Cherokee,4-Tyler,7441,14.2,52396
2023,Childress,1-Lubbock,784,11.14,7035
2023,Clay,2-Abilene,1039,10.97,9473
2023,Cochran,1-Lubbock,525,15.32,3426
2023,Coke,9-Midland,354,11.07,3199
2023,Coleman,2-Abilene,1055,12.6,8373
2023,Collin,3-Arlington,153966,13.61,1131673
2023,Collingsworth,1-Lubbock,494,15.08,3276
2023,Colorado,6-Houston,2796,13.08,21376
2023,Comal,8-San Antonio,19706,12.13,162442
2023,Comanche,2-Abilene,1574,12.33,12767
2023,Concho,9-Midland,304,7.31,4160
2023,Cooke,3-Arlington,5092,12.7,40085
2023,Coryell,7-Austin,10815,13.6,79516
2023,Cottle,2-Abilene,170,11.24,1513
2023,Crane,9-Midland,1054,15.26,6908
2023,Crockett,9-Midland,542,13.19,4110
2023,Crosby,1-Lubbock,945,14.36,6582
2023,Culberson,10-El Paso,221,10.09,2191
2023,Dallam,1-Lubbock,1298,17.51,7414
