Year,Consumer Confidence Index TX,Consumer Confidence Index US,Consumer Price Index TX,Consumer Price Index U.S.,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,110.2,184.549,202.416,10.268,137.477,4.5,4.6
2007,0,111.2,185.37,203.499,10.306,137.558,4.4,4.5
2007,0,108.2,186.417,205.352,10.345,137.793,4.4,4.4
2007,0,106.3,187.804,206.686,10.37,137.842,4.3,4.5
2007,0,108.5,188.557,207.949,10.396,137.993,4.3,4.4
2007,0,105.3,189.031,208.352,10.433,138.069,4.3,4.6
2007,0,111.9,189.21,208.299,10.452,138.038,4.3,4.7
2007,0,105.6,189.154,207.917,10.469,138.015,4.3,4.6
2007,0,99.5,189.589,208.49,10.49,138.095,4.4,4.7
2007,0,95.2,190.289,208.936,10.522,138.174,4.4,4.7
2007,0,87.8,191.025,210.177,10.545,138.284,4.4,4.7
2007,0,90.6,191.509,210.036,10.567,138.392,4.4,5
2008,0,87.3,192.125,211.08,10.599,138.403,4.3,5
2008,0,76.4,192.618,211.693,10.631,138.324,4.3,4.9
2008,0,65.9,193.904,213.528,10.619,138.275,4.3,5.1
2008,0,62.8,194.298,214.823,10.642,138.035,4.4,5
2008,0,58.1,196.371,216.632,10.652,137.858,4.5,5.4
2008,0,51,198.982,218.815,10.661,137.687,4.7,5.6
2008,0,51.9,200.498,219.964,10.673,137.491,4.8,5.8
2008,0,58.5,199.156,219.086,10.678,137.213,5,6.1
2008,0,61.4,199.17,218.783,10.649,136.753,5.2,6.1
2008,0,38.8,197.472,216.573,10.66,136.272,5.4,6.5
2008,0,44.7,193.765,212.425,10.65,135.545,5.6,6.8
2008,0,38.6,191.956,210.228,10.621,134.839,5.9,7.3
2009,0,37.4,192.681,211.143,10.563,134.055,6.1,7.8
2009,0,25.3,193.791,212.193,10.5,133.312,6.3,8.3
2009,0,26.9,194.234,212.709,10.439,132.512,6.4,8.7
2009,0,40.8,195.12,213.24,10.374,131.817,6.5,9
2009,0,54.8,194.78,213.856,10.35,131.475,7.5,9.4
2009,0,49.3,196.674,215.693,10.322,131.008,8,9.5
2009,0,47.4,196.342,215.351,10.289,130.668,8.2,9.5
2009,0,54.5,196.4,215.834,10.267,130.485,8.3,9.6
2009,0,53.4,196.804,215.969,10.258,130.244,8.3,9.8
2009,0,48.7,196.802,216.177,10.253,130.045,8.3,10
2009,0,50.6,196.851,216.33,10.254,130.057,8.3,9.9
2009,0,53.6,196.267,215.949,10.249,129.788,8.3,9.9
2010,0,56.5,196.846,216.687,10.278,129.79,8.3,9.8
2010,0,46.4,197.284,216.741,10.279,129.698,8.3,9.8
2010,0,52.3,197.592,217.631,10.31,129.879,8.3,9.9
2010,0,57.7,198.185,218.009,10.332,130.11,8.2,9.9
2010,0,62.66,198.148,218.178,10.391,130.65,8.2,9.6
2010,0,54.3,198.322,217.965,10.393,130.511,8.1,9.4
2010,0,51,197.501,218.011,10.38,130.427,8.1,9.4
2010,0,53.2,197.834,218.312,10.395,130.422,8.1,9.5
2010,0,48.6,198.581,218.439,10.398,130.357,8.1,9.5
2010,0,49.9,198.614,218.711,10.447,130.625,8.2,9.4
2010,0,57.8,198.172,218.803,10.454,130.75,8.2,9.8
2010,0,63.4,197.996,219.179,10.476,130.822,8.2,9.3
2011,0,64.8,199.302,220.223,10.492,130.841,8.2,9.1
2011,0,72,200.713,221.309,10.492,131.053,8.2,9
2011,0,63.8,203.057,223.467,10.535,131.288,8.1,9
2011,0,66,204.962,224.906,10.573,131.602,8.1,9.1
2011,0,61.7,205.683,225.964,10.58,131.703,8.2,9
2011,0,57.6,204.94,225.722,10.603,131.939,8.3,9.1
2011,0,59.2,205.045,225.922,10.633,131.999,8.3,9
2011,0,45.2,205.811,226.545,10.653,132.125,8.2,9
2011,0,46.4,206.004,226.889,10.675,132.358,8,9
2011,0,40.9,205.111,226.421,10.667,132.562,7.8,8.8
2011,0,55.2,205.256,226.23,10.687,132.694,7.5,8.6
2011,0,64.757,204.622,225.672,10.712,132.896,7.3,8.5
2012,0,61.511,205.281,226.665,10.754,133.25,7.1,8.3
2012,0,71.6,207.208,227.663,10.782,133.512,7,8.3
2012,0,69.5,209.23,229.392,10.821,133.752,6.7,8.2
2012,0,68.7,209.674,230.085,10.847,133.834,6.8,8.2
2012,0,64.4,209.036,229.815,10.879,133.934,6.8,8.2
2012,104.8,62.7,208.372,229.478,10.91,134.007,6.8,8.2
2012,93.7,65.4,207.881,229.104,10.924,134.159,6.7,8.2
2012,75.1,61.3,208.201,230.379,10.962,134.331,6.6,8.1
